rank,candidate_id,final_score,llm_score,confidence,hidden_gem,reason,evidence,skill_score,seniority_score,activity_score,composite_score,embedding_score
1,C001,0.7781,9,high,yes,"Candidate has direct experience migrating a large-scale data pipeline to AWS and using Spark, Airflow, and dbt.",8 years building large-scale data pipelines. | Migrated a 10 TB Hadoop cluster to AWS S3 and Redshift using Spark and Airflow DAGs.,0.5842,1.0,0.85,0.6562,0.547
2,C002,0.7004,8,medium,no,"The candidate has experience with Airflow-orchestrated Spark jobs, AWS (S3, Glue), Kafka, and Python. They also demonstrate a strong ownership mindset.",Airflow-orchestrated Spark jobs | Kafka | strong ownership mindset,0.5355,0.15,0.7333,0.6467,0.682
3,C014,0.6475,6,low,no,"Has strong Python skills and AWS experience but lacks direct experience with Apache Spark, Apache Airflow, dbt, MLflow, Feature Store, Kubernetes.",Strong Python skills | AWS experience | [No Spark or Airflow experience],0.5368,1.0,0.75,0.6559,0.5763
4,C003,0.6386,7,medium,no,"Candidate has experience with Apache Spark and Airflow, and has deployed models to Kubernetes.",Apache Spark | Airflow | Kubernetes,0.5355,0.55,0.9667,0.6055,0.5633
5,C012,0.5939,7,medium,yes,"The candidate has experience with Apache Airflow, AWS S3, and PySpark for data ingestion and transformation, which aligns with the job requirements.",Apache Airflow DAGs | AWS S3 | PySpark jobs,0.4895,1.0,0.3,0.5367,0.5477
6,C011,0.5718,7,medium,no,"The candidate has experience with Kubernetes, AWS, Python, Spark, and Kafka – all must-haves for the job. They also have some experience with Terraform, which is an implied skill.",Kubernetes | AWS | Python | Spark | Kafka,0.4331,0.55,0.5333,0.5027,0.5661
7,C010,0.5323,5,low,no,"Candidate has experience with AWS, SQL, and Python but lacks direct experience with Apache Spark, Apache Airflow, dbt, and the orchestration layer.",AWS | SQL | Python,0.5842,0.55,0.4,0.538,0.5616
8,C004,0.4785,7,medium,no,Candidate has experience in building and maintaining dbt projects (80 models) and using Airflow for orchestration.,Owns the analytics layer | Designed and maintained the entire dbt project | Wrote Airflow DAGs,0.4586,0.55,0.3667,0.3593,0.454
9,C005,0.4612,6,medium,no,"Has experience with Kafka, AWS, and microservices, but lacks direct experience with Apache Spark, Apache Airflow, dbt, MLflow, Feature Store, and speaks up when something is broken.",Kafka | AWS | microservices,0.4331,0.55,0.6,0.3865,0.4561
10,C008,0.4544,3,low,no,"Limited experience with required technologies (Apache Spark, AWS) and seniority level mismatch.","1.5 years experience | Limited Spark experience | works on GCP BigQuery, not AWS",0.4947,0.15,0.2333,0.4816,0.6177
11,C013,0.4079,6,low,no,"Candidate has experience in fixing broken Airflow jobs and Python Spark jobs, working with SQL, and building dbt models.",Python Spark jobs | built SQL dbt models,0.4474,0.15,0.1667,0.374,0.5492
12,C006,0.3727,3,low,no,"Limited evidence of data pipeline experience with Apache Spark, Apache Airflow, dbt, MLflow, and Feature Store.","No direct mention or experience with data pipeline technologies like Apache Spark, Apache Airflow, dbt, MLflow, or Feature Store.",0.2887,1.0,0.5,0.3855,0.4598
13,C007,0.3433,3,low,no,"Limited evidence of experience with Apache Spark, Apache Airflow, AWS (S3, Glue, Redshift), dbt, Git, Linux, Docker, Kafka, MLflow, Feature Store, or Kubernetes.",No pipeline or Spark experience,0.2968,1.0,0.3,0.351,0.4531
14,C015,0.3371,3,low,no,"Limited evidence of experience with Apache Spark, Apache Airflow, AWS (S3, Glue, Redshift), dbt, Kafka, MLflow, Feature Store, and Kubernetes.","Has not worked with Spark, Airflow, or the AWS data stack.",0.4812,0.55,0.45,0.3436,0.4216
15,C009,0.22,1,low,no,"Candidate is a Frontend Developer without experience in Python, SQL, Apache Spark, Apache Airflow, AWS (S3, Glue, Redshift), dbt, or any of the implied technologies.",Frontend specialist | No backend or data engineering experience,0.0842,0.55,0.8333,0.2412,0.4206
